id	entitytype	index_geometry	latitude	longitude	name	name_lng	name_type	road_class	route_dir	route_num	shield_code	micode	a2_code
f768957c-0b45-4dfb-b36e-dd1b214768a5	road_element	{"type":"LineString","coordinates":[[-85.7618943,34.7033475],[-85.761544,34.703631],[-85.760887,34.704202],[-85.760412,34.704648],[-85.75986,34.705192]]}	-85.760859	34.70425	AL Highway 71	ENG	4	5		71	5500	20060000	AL071
f7c87e8c-5537-43b9-aec3-09cb2e4124f1	road_element	{"type":"LineString","coordinates":[[-85.846274,34.866714],[-85.845802,34.866675],[-85.84547,34.866683],[-85.8447324,34.8667879]]}	-85.845502	34.866711	W Main St	ENG	4	5		117	5500	20060000	AL071
f843d7e4-4c56-4472-bcde-00ed05d4a3e8	road_element	{"type":"LineString","coordinates":[[-85.9611227,34.7167642],[-85.9607267,34.716998]]}	-85.960925	34.716881	US Highway 72	ENG	4	3		2	5500	20040000	AL071
f843d7e4-4c56-4472-bcde-00ed05d4a3e8	road_element	{"type":"LineString","coordinates":[[-85.9611227,34.7167642],[-85.9607267,34.716998]]}	-85.960925	34.716881	US Highway 72	ENG	4	3	W	72	5450	20040000	AL071
f8c82db5-e76c-416b-a072-d90cb4090f19	road_element	{"type":"LineString","coordinates":[[-85.9953202,34.597571],[-85.9952719,34.5976077]]}	-85.995296	34.597589	AL Highway 35	ENG	4	4		35	5500	20050000	AL071
f8db02d2-c2db-4afd-aece-dc096ec26fef	road_element	{"type":"LineString","coordinates":[[-86.0480314,34.6307423],[-86.0478846,34.6308869]]}	-86.047958	34.630815	S Broad St	ENG	4	4		279	5500	20050000	AL071
f8df4296-e40d-479d-ac3e-05f1baa70ad1	road_element	{"type":"LineString","coordinates":[[-85.8141252,34.8686312],[-85.8141024,34.8686726]]}	-85.814114	34.868652	US Highway 72	ENG	4	3		2	5500	20040000	AL071
f8df4296-e40d-479d-ac3e-05f1baa70ad1	road_element	{"type":"LineString","coordinates":[[-85.8141252,34.8686312],[-85.8141024,34.8686726]]}	-85.814114	34.868652	US Highway 72	ENG	4	3	E	72	5450	20040000	AL071
f91b5d89-b459-439e-8c6e-833774125442	road_element	{"type":"LineString","coordinates":[[-85.6068425,34.8740036],[-85.606794,34.875228],[-85.606697,34.876891]]}	-85.606776	34.875448	AL Highway 73	ENG	4	5		73	5500	20060000	AL071
f91b5d89-b459-439e-8c6e-833774125442	road_element	{"type":"LineString","coordinates":[[-85.6068425,34.8740036],[-85.606794,34.875228],[-85.606697,34.876891]]}	-85.606776	34.875448	AL Highway 73	ENG	4	5		93	8200	20060000	AL071
f9da7c0a-20f2-4c11-aaef-8d165ceb2b26	road_element	{"type":"LineString","coordinates":[[-86.022921,34.675276],[-86.0229261,34.6755239]]}	-86.022924	34.6754	Tupelo Pike	ENG	4	5		21	8200	20060000	AL071
f9fa71f0-13ae-4cf9-9e13-383d791f9e09	road_element	{"type":"LineString","coordinates":[[-85.9779879,34.8059368],[-85.977993,34.806159],[-85.978135,34.808678],[-85.978103,34.809096],[-85.978022,34.809206],[-85.977888,34.809259],[-85.976875,34.809251]]}	-85.977907	34.808017	County Road 42	ENG	4	5		39	8200	20060000	AL071
